OpenCC繁體,香港繁體,臺灣正體,大陸簡體,日本簡體,異體字
孿,孿,孿,孪,孿,孪
鈡,鈡,鈡,钟,鈡,鍾钟
扼,扼,扼,扼,扼,㧖搤
竽,竽,竽,竽,竽,
網,網,網,网,網,网
活,活,活,活,活,
透,透,透,透,透,
沉,沉,沉,沉,沉,沈瀋
苟,苟,苟,苟,苟,茍
冗,宂,冗,冗,冗,宂
招,招,招,招,招,
諄,諄,諄,谆,諄,谆
先,先,先,先,先,
敵,敵,敵,敌,敵,敌
迆,迆,迆,迆,迆,
竹,竹,竹,竹,竹,
搪,搪,搪,搪,搪,傏
博,博,博,博,博,愽
夤,夤,夤,夤,夤,
噴,噴,噴,喷,噴,呠喷歕
凋,凋,凋,凋,凋,
逖,逖,逖,逖,逖,逷
耶,耶,耶,耶,耶,
郭,郭,郭,郭,郭,
賁,賁,賁,贲,賁,贲
珊,珊,珊,珊,珊,
蕙,蕙,蕙,蕙,蕙,
緋,緋,緋,绯,緋,绯
忠,忠,忠,忠,忠,
皆,皆,皆,皆,皆,
高,高,高,高,高,髙
樺,樺,樺,桦,樺,桦
掣,掣,掣,掣,掣,
三,三,三,三,三,叁
丟,丟,丟,丢,丟,丢
園,園,園,园,園,园
秀,秀,秀,秀,秀,
局,局,局,局,局,侷
剌,剌,剌,剌,剌,
恐,恐,恐,恐,恐,𢙢
雄,雄,雄,雄,雄,
唆,唆,唆,唆,唆,
背,背,背,背,背,揹
虹,虹,虹,虹,虹,
豔,豔,豔,艳,豔,艳艶艷豓
憧,憧,憧,憧,憧,
憤,憤,憤,愤,憤,愤
甴,甴,甴,甴,甴,
黷,黷,黷,黩,黷,黩
滿,滿,滿,满,満,満满
梗,梗,梗,梗,梗,
甲,甲,甲,甲,甲,
匝,匝,匝,匝,匝,帀迊
蜿,蜿,蜿,蜿,蜿,
梔,梔,梔,栀,梔,栀
雉,雉,雉,雉,雉,
替,替,替,替,替,
囊,囊,囊,囊,囊,嚢
混,混,混,混,混,
丈,丈,丈,丈,丈,
黍,黍,黍,黍,黍,
瓤,瓤,瓤,瓤,瓤,
蟈,蟈,蟈,蝈,蟈,蝈
花,花,花,花,花,蘤
筷,筷,筷,筷,筷,
茉,茉,茉,茉,茉,
攀,攀,攀,攀,攀,㐴扳
崛,崛,崛,崛,崛,
幔,幔,幔,幔,幔,
跤,跤,跤,跤,跤,
歎,歎,歎,叹,歎,叹嘆
捆,捆,捆,捆,捆,綑
枚,枚,枚,枚,枚,
乳,乳,乳,乳,乳,
褫,褫,褫,褫,褫,裭
倉,倉,倉,仓,倉,仓
嬌,嬌,嬌,娇,嬌,娇撟
餡,餡,餡,馅,餡,馅
髮,髮,髮,发,髪,发髪
塚,塚,塚,冢,塚,冢塚
縛,縛,縛,缚,縛,缚
擻,擻,擻,擞,擻,擞
植,植,植,植,植,
檄,檄,檄,檄,檄,
健,健,健,健,健,徤
羹,羹,羹,羹,羹,羮
境,境,境,境,境,
貽,貽,貽,贻,貽,贻
煥,煥,煥,焕,煥,烉焕
汝,汝,汝,汝,汝,
搬,搬,搬,搬,搬,搫
